x,y
-2.6951295,-1.7842192
-2.9132107,-2.3221843
-2.9967517,-2.9206538
-2.7994487,-3.4440100
-2.3619731,-3.8475682
-1.8041582,-4.1052155
-1.2168428,-4.2098547
-0.6315390,-4.1955866
-0.0474374,-4.0884102
0.5136706,-3.9084155
1.0544708,-3.6790793
1.5861232,-3.4175042
2.1163437,-3.1361025
2.6436074,-2.8569581
3.1792336,-2.6078444
3.7451198,-2.4139364
4.3240924,-2.2951160
4.9141338,-2.2558861
5.5051228,-2.3059642
6.0714140,-2.4533528
6.6120776,-2.6842123
7.1516003,-2.9485800
7.6985998,-3.1928589
8.2550605,-3.3907982
8.8444421,-3.5199992
9.4280407,-3.5286442
10.0079639,-3.3643947
10.4809069,-3.0239590
10.7296129,-2.5091287
10.6937890,-1.9214253
10.4527744,-1.3927389
10.0683899,-0.9286375
9.6056539,-0.5531397
9.0872425,-0.2607891
8.5319249,-0.0608361
7.9670047,0.0487855
7.3700029,0.0927219
6.7945287,0.0958902
6.1907711,0.0770806
5.5980002,0.0460633
5.0071785,0.0113199
4.4008404,-0.0199452
3.8121423,-0.0415949
3.2157289,-0.0562916
2.6164712,-0.0658092
2.0200896,-0.0732181
1.4327681,-0.0828827
0.8232052,-0.1012724
0.2342334,-0.1376422
-0.3569712,-0.2085267
-0.9401334,-0.3373040
-1.4879202,-0.5520554
-1.9943527,-0.8758210
-2.3799699,-1.2529391
-2.6951295,-1.7842192
